epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,480.189,0.86617,0.71055,0.98412,0.50582,0.22798,0.22305,0.10778,1.97748,2.06328,1.65804,0.0002278,0.0002278,0.0002278
80,486.228,0.85282,0.70665,0.98885,0.52674,0.21436,0.22088,0.10793,1.98298,2.09249,1.66488,0.0002179,0.0002179,0.0002179
81,492.302,0.86415,0.71675,0.98602,0.52117,0.21441,0.21942,0.10693,1.96401,2.0494,1.65121,0.000208,0.000208,0.000208
82,498.334,0.81957,0.68196,0.96912,0.51905,0.21438,0.22017,0.10844,1.95678,2.06681,1.6412,0.0001981,0.0001981,0.0001981
83,504.372,0.84775,0.7085,0.98027,0.48954,0.22524,0.21441,0.10762,1.96703,2.08588,1.65105,0.0001882,0.0001882,0.0001882
84,510.443,0.85323,0.70561,0.97848,0.52935,0.21487,0.22165,0.10974,1.96467,2.05144,1.64777,0.0001783,0.0001783,0.0001783
85,516.492,0.83558,0.6987,0.97582,0.35478,0.21664,0.22463,0.11205,1.94434,2.04099,1.65243,0.0001684,0.0001684,0.0001684
86,522.608,0.81847,0.67642,0.96945,0.33385,0.22349,0.21965,0.10868,1.96575,2.08703,1.65096,0.0001585,0.0001585,0.0001585
87,528.644,0.81736,0.67994,0.96547,0.37815,0.21253,0.22442,0.11345,1.95741,2.02038,1.65191,0.0001486,0.0001486,0.0001486
88,534.657,0.83672,0.69183,0.97666,0.54296,0.21974,0.23053,0.11271,1.95072,2.04299,1.64896,0.0001387,0.0001387,0.0001387
89,540.697,0.81989,0.68595,0.97601,0.3849,0.22418,0.23257,0.11362,1.95731,2.0266,1.65722,0.0001288,0.0001288,0.0001288
90,546.871,0.82381,0.67571,0.97251,0.53535,0.22751,0.23351,0.11489,1.95319,2.04374,1.65022,0.0001189,0.0001189,0.0001189
91,553.392,1.72123,1.91327,1.50699,0.32261,0.22644,0.22146,0.11207,1.96686,2.07281,1.69419,0.000109,0.000109,0.000109
92,559.364,1.63695,1.73512,1.45985,0.50995,0.21734,0.21736,0.10766,1.96388,2.04624,1.67271,9.91e-05,9.91e-05,9.91e-05
93,565.31,1.61274,1.69204,1.42908,0.52027,0.2286,0.22878,0.1131,1.94872,1.98201,1.64774,8.92e-05,8.92e-05,8.92e-05
94,571.263,1.58276,1.65721,1.41521,0.53733,0.22011,0.2296,0.11396,1.94854,1.97848,1.64571,7.93e-05,7.93e-05,7.93e-05
95,577.252,1.56481,1.64089,1.4135,0.5334,0.22794,0.23272,0.11529,1.94462,1.96944,1.63038,6.94e-05,6.94e-05,6.94e-05
96,583.293,1.56047,1.60324,1.39621,0.54275,0.23407,0.2356,0.11633,1.94283,1.97485,1.62605,5.95e-05,5.95e-05,5.95e-05
97,589.297,1.55972,1.60434,1.39055,0.35448,0.23549,0.23486,0.11591,1.94141,1.97027,1.61803,4.96e-05,4.96e-05,4.96e-05
98,595.263,1.5549,1.57072,1.37091,0.52037,0.23996,0.23667,0.11779,1.94392,1.96255,1.61944,3.97e-05,3.97e-05,3.97e-05
99,601.282,1.57239,1.61001,1.41205,0.52285,0.23944,0.23905,0.12139,1.93648,1.95652,1.61734,2.98e-05,2.98e-05,2.98e-05
100,607.282,1.53874,1.57052,1.38083,0.53522,0.23563,0.24613,0.12456,1.93051,1.94654,1.61613,1.99e-05,1.99e-05,1.99e-05
